name,seed,F1@5,Precision@5,Recall@5,NDCG@5,PSP@5,PSDCG@5,MAP@5,F1@10,Precision@10,Recall@10,NDCG@10,PSP@10,PSDCG@10,MAP@10,F1@15,Precision@15,Recall@15,NDCG@15,PSP@15,PSDCG@15,MAP@15,F1@20,Precision@20,Recall@20,NDCG@20,PSP@20,PSDCG@20,MAP@20,F1@25,Precision@25,Recall@25,NDCG@25,PSP@25,PSDCG@25,MAP@25,MRR
Random-MM-60,1,0.286,0.1895,0.6367,0.6334,20.0901,64.8076,0.6367,0.1792,0.1042,0.6806,0.6201,14.4344,79.1482,0.6355,0.1348,0.0747,0.7185,0.631,12.5966,90.9748,0.6279,0.1083,0.0586,0.7408,0.6444,11.2333,99.3676,0.6238,0.0903,0.0481,0.7557,0.6515,10.1826,105.8462,0.6219,0.9023
Random-MM-60,12,0.2807,0.1859,0.6318,0.6341,17.9866,59.2816,0.6399,0.1789,0.104,0.6841,0.6179,13.4763,73.3023,0.6326,0.1343,0.0744,0.7114,0.6352,11.0759,81.5974,0.6253,0.1059,0.0573,0.7257,0.6472,9.6599,88.0336,0.6237,0.0875,0.0466,0.7371,0.6534,8.2873,91.0801,0.6217,0.9053
Random-MM-60,123,0.2767,0.1833,0.6255,0.6268,15.423,52.4426,0.6383,0.1808,0.1051,0.6801,0.6141,11.8067,65.8202,0.6281,0.1343,0.0744,0.7117,0.6275,10.4637,76.0333,0.6211,0.1055,0.057,0.7218,0.6379,8.1754,77.5787,0.6179,0.0895,0.0476,0.7453,0.6462,7.5997,83.3832,0.6142,0.9009
Random-MM-60,1234,0.284,0.1881,0.6344,0.6174,17.567,57.3817,0.6364,0.1789,0.104,0.6713,0.6077,12.3881,68.7853,0.6282,0.1343,0.0744,0.7047,0.6205,11.2124,80.6408,0.6211,0.1069,0.0578,0.7257,0.632,9.4552,85.568,0.6155,0.0892,0.0475,0.745,0.6398,8.4426,90.3961,0.6131,0.8774
Random-MM-60,12345,0.2827,0.1873,0.6287,0.6389,18.4386,64.1813,0.6398,0.1823,0.1059,0.6817,0.6144,13.6048,78.1742,0.6374,0.133,0.0737,0.7036,0.6371,10.438,83.6479,0.6348,0.1057,0.0571,0.7231,0.649,9.047,89.4135,0.6316,0.0892,0.0475,0.7432,0.6552,8.3947,95.7439,0.6241,0.8989
Random-MM-70,1,0.282,0.1868,0.6294,0.6409,16.5894,58.6746,0.64,0.1796,0.1044,0.6775,0.6165,12.328,71.5595,0.6374,0.1338,0.0741,0.705,0.6291,10.3593,80.0691,0.6312,0.1063,0.0575,0.7266,0.6388,8.982,85.7327,0.6278,0.0873,0.0465,0.7326,0.6476,7.5317,87.6111,0.6263,0.8889
Random-MM-70,12,0.2787,0.1846,0.6294,0.6354,17.2063,57.5635,0.6437,0.1789,0.104,0.6804,0.6198,13.1268,71.7151,0.6323,0.1346,0.0746,0.7146,0.6342,11.5498,82.7137,0.6264,0.1055,0.057,0.7271,0.6461,9.2636,85.531,0.6258,0.0875,0.0466,0.7369,0.6521,8.4079,90.9668,0.6225,0.9047
Random-MM-70,123,0.278,0.1842,0.6278,0.622,15.3516,52.4296,0.6405,0.1811,0.1053,0.6808,0.6142,12.266,67.0121,0.6282,0.1343,0.0744,0.7086,0.6225,10.3296,75.4491,0.6215,0.1057,0.0571,0.7216,0.633,8.3406,78.2551,0.6178,0.0901,0.048,0.752,0.6433,8.2644,86.9052,0.616,0.8925
Random-MM-70,1234,0.2833,0.1877,0.6292,0.6212,17.0869,56.8888,0.6336,0.1792,0.1042,0.6747,0.6098,12.6946,69.9529,0.6282,0.1327,0.0736,0.7029,0.6219,10.2726,77.1307,0.6206,0.1053,0.0569,0.7181,0.6309,8.6839,81.7498,0.6171,0.0885,0.0471,0.7367,0.6387,8.1156,88.1527,0.6128,0.8836
Random-MM-70,12345,0.2833,0.1877,0.6314,0.6332,18.6302,64.218,0.639,0.1826,0.1062,0.6816,0.6165,13.7903,78.5936,0.6358,0.133,0.0737,0.7052,0.6363,10.5039,83.8134,0.6335,0.1059,0.0573,0.727,0.6477,9.0968,89.5633,0.6308,0.0895,0.0476,0.7496,0.6537,8.4319,95.8409,0.6267,0.9015
Random-MM-80,1,0.282,0.1868,0.6314,0.6357,15.9751,56.1234,0.6419,0.1811,0.1053,0.6809,0.6177,13.0723,72.7593,0.6368,0.1327,0.0736,0.7013,0.6308,10.1615,78.451,0.6324,0.1067,0.0577,0.7269,0.6437,9.7045,88.1226,0.628,0.0896,0.0477,0.7466,0.6487,8.8563,94.088,0.6238,0.8891
Random-MM-80,12,0.2847,0.1886,0.6357,0.6243,17.0923,54.5352,0.6352,0.1781,0.1035,0.6753,0.6184,11.561,63.9186,0.623,0.1325,0.0734,0.7079,0.6331,9.8763,72.6312,0.6194,0.1055,0.057,0.7244,0.6442,8.8473,79.3632,0.6164,0.0883,0.047,0.7405,0.6509,7.8182,83.4096,0.6126,0.8939
Random-MM-80,123,0.2767,0.1833,0.6293,0.6235,15.2467,52.1806,0.6387,0.1808,0.1051,0.6804,0.6131,11.8758,65.8968,0.6262,0.1341,0.0743,0.7087,0.6239,10.1639,74.7734,0.6195,0.1053,0.0569,0.7231,0.6334,8.1941,77.4747,0.6182,0.0896,0.0477,0.7488,0.6437,7.9098,84.8175,0.6149,0.8927
Random-MM-80,1234,0.2833,0.1877,0.6289,0.6215,17.0901,57.2463,0.6345,0.1792,0.1042,0.6772,0.6116,12.5759,69.981,0.6295,0.1325,0.0734,0.7011,0.6248,10.3254,77.6951,0.62,0.1053,0.0569,0.7183,0.6327,8.8988,83.1456,0.6174,0.0888,0.0473,0.7396,0.6415,8.2328,89.2233,0.6119,0.8836
Random-MM-80,12345,0.2847,0.1886,0.6308,0.6374,18.7193,64.109,0.6361,0.1815,0.1055,0.6831,0.6118,13.3551,77.0262,0.6335,0.1327,0.0736,0.7052,0.6352,10.5165,83.4513,0.6323,0.1063,0.0575,0.7268,0.6474,8.9993,88.7011,0.6271,0.0898,0.0478,0.749,0.6542,8.5636,96.1252,0.6199,0.8977
Random-MM-90,1,0.284,0.1881,0.6376,0.6246,25.6844,82.0864,0.6461,0.1808,0.1051,0.6842,0.6158,20.2157,105.8011,0.6359,0.1317,0.073,0.7024,0.6267,14.8982,111.4641,0.6331,0.1039,0.0562,0.7162,0.6352,11.7373,114.1273,0.6304,0.0865,0.0461,0.7291,0.6387,10.0793,117.9117,0.6245,0.8868
Random-MM-90,12,0.2814,0.1864,0.6317,0.6315,16.8628,55.3387,0.6335,0.1789,0.104,0.6734,0.6165,11.2357,64.3175,0.6253,0.1325,0.0734,0.7066,0.6351,9.59,72.5534,0.6221,0.1055,0.057,0.7225,0.6431,8.5836,79.1627,0.6203,0.0893,0.0476,0.7433,0.6513,7.9391,84.9972,0.6145,0.9108
Random-MM-90,123,0.2867,0.1899,0.6459,0.6236,23.2473,75.4894,0.639,0.1842,0.107,0.6907,0.6125,17.9467,96.3724,0.6311,0.1333,0.0738,0.711,0.6314,13.2005,101.2956,0.6279,0.1065,0.0576,0.7354,0.6417,11.6379,109.513,0.6227,0.089,0.0474,0.7493,0.6492,9.8487,112.4412,0.6171,0.8889
Random-MM-90,1234,0.2853,0.189,0.632,0.6234,17.3014,56.8698,0.6375,0.1789,0.104,0.6751,0.6101,12.484,68.7776,0.6314,0.133,0.0737,0.7011,0.6213,10.3341,76.7674,0.6226,0.1061,0.0574,0.7176,0.6296,8.9569,82.4209,0.6173,0.0893,0.0476,0.7448,0.6384,8.2489,88.369,0.614,0.8784
Random-MM-90,12345,0.282,0.1868,0.6301,0.6304,15.4858,53.3779,0.6377,0.1777,0.1033,0.6681,0.6136,11.1095,64.1108,0.6315,0.133,0.0737,0.7028,0.6287,9.1123,70.7994,0.6263,0.1083,0.0586,0.7363,0.6403,8.6345,79.3228,0.6208,0.09,0.0479,0.7494,0.65,7.5928,83.0678,0.6188,0.9108
MISR,12345,0.1944,0.1288,0.4371,0.2023,1.7243,5.0274,0.4141,0.1403,0.0815,0.5098,0.2414,1.7316,7.8318,0.4102,0.1105,0.0612,0.5855,0.2514,1.8706,10.6573,0.4096,0.0888,0.048,0.6039,0.2628,1.7976,12.5169,0.4055,0.0753,0.0401,0.6392,0.2778,1.7336,14.1284,0.4063,0.3033
Contras-MM-10-Minimal-20,1,0.284,0.1881,0.6296,0.6377,19.0111,65.0959,0.6424,0.1823,0.1059,0.679,0.622,17.0639,89.5243,0.6372,0.1351,0.0749,0.7125,0.6368,13.7744,99.0583,0.6332,0.1065,0.0576,0.7255,0.6449,11.0043,102.2333,0.6301,0.0893,0.0476,0.7467,0.6532,9.6157,106.6729,0.6242,0.8953
Contras-MM-10-Minimal-20,12,0.2787,0.1846,0.627,0.6308,17.3886,56.9144,0.6349,0.1766,0.1026,0.6706,0.6193,11.7951,66.9912,0.6247,0.1322,0.0733,0.7094,0.6309,11.249,80.3777,0.6214,0.1051,0.0568,0.7225,0.6421,9.5227,85.5395,0.6171,0.0875,0.0466,0.7379,0.6472,8.3428,89.5257,0.6138,0.9034
Contras-MM-10-Minimal-20,123,0.2807,0.1859,0.6256,0.614,13.6444,47.2392,0.6264,0.1811,0.1053,0.6816,0.6082,11.2617,61.3994,0.6232,0.1346,0.0746,0.7125,0.623,10.0619,71.4166,0.6179,0.1063,0.0575,0.7294,0.6337,8.3591,75.2786,0.6126,0.09,0.0479,0.7535,0.6446,7.7675,81.1793,0.6061,0.891
Contras-MM-10-Minimal-20,1234,0.2833,0.1877,0.632,0.6159,15.8925,53.4466,0.6349,0.1777,0.1033,0.6696,0.6105,11.381,64.4075,0.6243,0.1317,0.073,0.7003,0.6223,9.4079,71.6807,0.6223,0.1055,0.057,0.7215,0.634,8.6968,79.3928,0.6178,0.0885,0.0471,0.7399,0.6409,7.7153,83.5046,0.6134,0.8851
Contras-MM-10-Minimal-20,12345,0.2853,0.189,0.6359,0.6274,20.5027,68.3068,0.637,0.1819,0.1057,0.6842,0.6193,14.357,81.1807,0.6305,0.1348,0.0747,0.7127,0.6379,11.8974,90.393,0.6274,0.1071,0.0579,0.7279,0.6516,10.7712,99.1801,0.6232,0.0883,0.047,0.7389,0.6575,9.3048,102.945,0.6205,0.905
Contras-MM-20-Minimal-20,1,0.288,0.1908,0.6326,0.6332,19.7155,67.1185,0.6374,0.1796,0.1044,0.6705,0.6263,14.1208,81.1212,0.635,0.1327,0.0736,0.7064,0.638,11.6329,89.9854,0.632,0.1057,0.0571,0.7229,0.6413,10.3068,97.4436,0.6273,0.088,0.0469,0.7416,0.65,9.0829,101.9925,0.6236,0.8986
Contras-MM-20-Minimal-20,12,0.284,0.1881,0.6326,0.637,17.0837,57.3408,0.6395,0.1755,0.102,0.6641,0.6164,11.5419,67.125,0.6351,0.1314,0.0728,0.6976,0.6265,9.9692,76.0804,0.6274,0.1057,0.0571,0.7213,0.6383,9.1841,84.1077,0.6248,0.0883,0.047,0.7396,0.6463,8.7885,92.0095,0.6233,0.882
Contras-MM-20-Minimal-20,123,0.2814,0.1864,0.6331,0.626,18.6818,61.6639,0.6429,0.1804,0.1048,0.6847,0.6168,14.2213,77.0472,0.6358,0.1327,0.0736,0.711,0.6292,11.0464,83.2123,0.6295,0.1061,0.0574,0.7304,0.6416,9.0752,87.0132,0.6263,0.0883,0.047,0.7439,0.6514,8.4578,93.5456,0.6224,0.9061
Contras-MM-20-Minimal-20,1234,0.2827,0.1873,0.6294,0.615,15.7014,52.6224,0.6305,0.1781,0.1035,0.6715,0.6054,11.3997,63.8939,0.6202,0.1311,0.0727,0.6968,0.6194,9.0994,69.8948,0.6181,0.1055,0.057,0.724,0.6301,8.3513,77.1625,0.6154,0.0882,0.0469,0.7375,0.6364,7.5409,81.8788,0.611,0.8775
Contras-MM-20-Minimal-20,12345,0.284,0.1881,0.6264,0.6187,16.4882,53.9324,0.6249,0.1811,0.1053,0.6725,0.6069,12.2382,67.1034,0.6181,0.1351,0.0749,0.7067,0.6242,10.578,76.7261,0.613,0.1065,0.0576,0.7238,0.6391,8.7383,80.5244,0.6127,0.089,0.0474,0.7442,0.6475,7.9276,85.6403,0.6112,0.8884
Contras-MM-30-Minimal-20,1,0.2887,0.1912,0.6346,0.6397,19.932,66.9506,0.6427,0.1815,0.1055,0.6778,0.6254,16.0834,86.7357,0.6396,0.1346,0.0746,0.7117,0.6382,13.3995,97.2663,0.6353,0.1077,0.0582,0.7328,0.6488,11.5577,104.3456,0.6304,0.0896,0.0477,0.7483,0.6567,10.1019,108.9974,0.6276,0.9009
Contras-MM-30-Minimal-20,12,0.286,0.1895,0.6375,0.6413,18.76,63.1417,0.6511,0.1796,0.1044,0.6815,0.6236,14.5123,79.5138,0.6452,0.1327,0.0736,0.7062,0.6369,12.2853,89.8428,0.6409,0.1049,0.0567,0.7218,0.6439,10.2464,94.7267,0.6402,0.0883,0.047,0.7415,0.6531,9.6962,102.9366,0.6331,0.8841
Contras-MM-30-Minimal-20,123,0.2794,0.1851,0.6231,0.6117,13.9253,47.659,0.6279,0.1815,0.1055,0.6816,0.6089,11.0654,60.593,0.6217,0.1335,0.074,0.7076,0.6175,9.5995,69.3825,0.6168,0.1059,0.0573,0.7277,0.6296,8.1274,73.826,0.6125,0.0888,0.0473,0.7492,0.6422,7.2731,78.0512,0.6079,0.8883
Contras-MM-30-Minimal-20,1234,0.282,0.1868,0.6288,0.6333,18.1288,60.3205,0.6413,0.1781,0.1035,0.6718,0.6185,13.2092,73.9599,0.6319,0.1325,0.0734,0.7066,0.6295,11.4528,84.3283,0.6261,0.1063,0.0575,0.729,0.6398,10.2337,92.0846,0.6235,0.0878,0.0468,0.7396,0.6492,8.8134,95.4952,0.621,0.8905
Contras-MM-30-Minimal-20,12345,0.2867,0.1899,0.6403,0.6298,20.9041,69.9865,0.6367,0.1796,0.1044,0.6779,0.622,13.9282,80.8123,0.6327,0.133,0.0737,0.7062,0.6356,11.0129,87.5237,0.6261,0.1061,0.0574,0.725,0.6483,9.5782,93.8233,0.6229,0.0888,0.0473,0.7388,0.6535,9.1915,102.1442,0.6205,0.9003
Contras-MM-40-Minimal-20,1,0.288,0.1908,0.6353,0.6344,18.997,65.4048,0.6442,0.1808,0.1051,0.6727,0.6244,15.5055,85.2852,0.6399,0.1346,0.0746,0.7083,0.6373,13.1507,96.4207,0.635,0.1067,0.0577,0.7257,0.6464,11.199,102.7427,0.6313,0.0893,0.0476,0.7432,0.6553,9.6264,106.3663,0.6269,0.8964
Contras-MM-40-Minimal-20,12,0.2814,0.1864,0.6333,0.6379,19.2853,64.065,0.6449,0.1766,0.1026,0.6773,0.6166,14.0931,78.3263,0.6372,0.1327,0.0736,0.7083,0.6296,12.1864,89.4484,0.6299,0.1061,0.0574,0.727,0.6366,10.7585,97.0485,0.6256,0.0877,0.0467,0.739,0.6455,8.9964,99.1791,0.6254,0.8885
Contras-MM-40-Minimal-20,123,0.2774,0.1837,0.6198,0.6131,13.1215,44.3804,0.6287,0.1815,0.1055,0.6826,0.6098,10.8145,58.112,0.6209,0.133,0.0737,0.7028,0.6172,9.2998,66.5213,0.6178,0.1073,0.058,0.7372,0.6328,8.4012,73.3159,0.6115,0.089,0.0474,0.7484,0.6421,7.251,76.228,0.6092,0.8889
Contras-MM-40-Minimal-20,1234,0.282,0.1868,0.6279,0.6134,15.4367,51.7544,0.632,0.1785,0.1037,0.6721,0.6055,11.2531,63.1589,0.6234,0.1322,0.0733,0.7002,0.6195,9.6844,71.7988,0.6208,0.1045,0.0565,0.7134,0.6319,7.9951,75.2845,0.6173,0.0877,0.0467,0.7329,0.6371,7.1469,79.3603,0.6127,0.8775
Contras-MM-40-Minimal-20,12345,0.2887,0.1912,0.639,0.629,20.9266,69.3702,0.6359,0.1792,0.1042,0.678,0.6185,13.5278,78.9754,0.6333,0.1338,0.0741,0.7095,0.6326,10.8726,86.3443,0.627,0.1059,0.0573,0.7215,0.6456,9.2108,91.3355,0.6239,0.0887,0.0472,0.7404,0.6533,8.7033,98.591,0.6202,0.8963
Contras-MM-50-Minimal-20,1,0.2847,0.1886,0.6321,0.6342,20.4444,68.9676,0.6387,0.1808,0.1051,0.6768,0.6184,16.6874,90.4121,0.6359,0.1343,0.0744,0.7082,0.6293,14.5296,103.9315,0.6291,0.1063,0.0575,0.7238,0.6418,11.4395,106.528,0.6265,0.0875,0.0466,0.7305,0.6528,9.8381,110.2609,0.6252,0.8942
Contras-MM-50-Minimal-20,12,0.2807,0.1859,0.6272,0.6409,18.4413,61.6684,0.6439,0.1796,0.1044,0.6859,0.6187,14.7725,79.336,0.636,0.1327,0.0736,0.708,0.6324,12.2127,88.6375,0.6306,0.1057,0.0571,0.7245,0.6428,9.9683,92.3966,0.625,0.088,0.0469,0.7384,0.649,9.0373,98.1659,0.6222,0.8917
Contras-MM-50-Minimal-20,123,0.2774,0.1837,0.6206,0.6074,13.7064,46.9525,0.6288,0.1815,0.1055,0.6833,0.6059,11.5012,61.6258,0.6222,0.1338,0.0741,0.7051,0.6187,9.494,68.9382,0.6174,0.1069,0.0578,0.7312,0.6285,8.3903,74.95,0.6112,0.0888,0.0473,0.7445,0.6413,7.1489,77.3621,0.6088,0.8872
Contras-MM-50-Minimal-20,1234,0.282,0.1868,0.6275,0.6198,15.3503,51.9348,0.6326,0.1796,0.1044,0.6756,0.6083,11.5117,64.2497,0.622,0.1317,0.073,0.6982,0.6198,9.5481,71.6541,0.6185,0.1055,0.057,0.7226,0.63,8.2185,76.6737,0.6177,0.0878,0.0468,0.7345,0.6412,7.3721,80.9608,0.6132,0.8775
Contras-MM-50-Minimal-20,12345,0.2873,0.1903,0.6367,0.6341,20.7043,68.9375,0.6395,0.1789,0.104,0.6735,0.6222,13.4787,78.7203,0.6349,0.1335,0.074,0.7086,0.6327,10.8342,86.0789,0.63,0.1057,0.0571,0.7221,0.648,9.3035,91.6322,0.6259,0.089,0.0474,0.7395,0.6543,8.8557,99.2677,0.6212,0.9003
Contras-MM-70-Minimal-20,1,0.2814,0.1864,0.6288,0.638,25.661,82.7413,0.6427,0.1811,0.1053,0.6848,0.6191,19.3261,103.7346,0.6394,0.1311,0.0727,0.7034,0.6349,14.6488,110.6137,0.6358,0.1043,0.0564,0.7241,0.6414,11.945,115.1338,0.6319,0.0868,0.0462,0.7362,0.6482,10.172,118.5247,0.6281,0.8905
Contras-MM-70-Minimal-20,12,0.2807,0.1859,0.6289,0.6303,16.4302,55.2564,0.6384,0.1762,0.1024,0.6715,0.6156,11.4427,65.7338,0.6311,0.1322,0.0733,0.7015,0.6314,9.984,75.0346,0.6244,0.1049,0.0567,0.7164,0.6436,8.3265,79.0207,0.6202,0.0878,0.0468,0.739,0.649,8.0313,86.4381,0.619,0.8957
Contras-MM-70-Minimal-20,123,0.2833,0.1877,0.6445,0.6368,22.2259,73.8629,0.6555,0.18,0.1046,0.686,0.6213,18.097,96.0738,0.6488,0.1338,0.0741,0.7159,0.6384,14.5857,106.1961,0.6384,0.1065,0.0576,0.7336,0.6473,12.1803,112.1156,0.6354,0.0887,0.0472,0.7499,0.6555,10.5985,116.7732,0.6318,0.9074
Contras-MM-70-Minimal-20,1234,0.2847,0.1886,0.6298,0.6259,18.8923,62.0198,0.635,0.1785,0.1037,0.6736,0.6091,13.6512,75.2924,0.63,0.1317,0.073,0.7016,0.6254,11.0362,82.9685,0.6233,0.1057,0.0571,0.7259,0.6352,9.5652,89.1416,0.6188,0.0877,0.0467,0.7367,0.6419,8.0815,91.5211,0.6153,0.8925
Contras-MM-70-Minimal-20,12345,0.2853,0.189,0.6346,0.6215,19.703,66.9105,0.6354,0.1792,0.1042,0.6787,0.6157,13.6112,78.8376,0.6297,0.1341,0.0743,0.7124,0.6324,11.5803,88.693,0.6277,0.1081,0.0585,0.7353,0.6414,10.2288,96.011,0.6189,0.0892,0.0475,0.7423,0.6495,8.9095,99.9791,0.6169,0.8895
Contras-MM-80-Minimal-20,1,0.2787,0.1846,0.6237,0.6438,21.2768,71.0738,0.6451,0.1796,0.1044,0.6779,0.6248,16.0113,88.2661,0.6417,0.1327,0.0736,0.7049,0.6349,13.022,97.5683,0.6392,0.1061,0.0574,0.7293,0.6472,11.0728,103.6182,0.6319,0.0883,0.047,0.7414,0.6542,9.677,108.1048,0.6289,0.8914
Contras-MM-80-Minimal-20,12,0.2807,0.1859,0.6313,0.6303,18.2338,59.6478,0.6439,0.1811,0.1053,0.6878,0.616,14.008,75.1984,0.6345,0.1341,0.0743,0.7136,0.6305,12.2631,86.749,0.628,0.1055,0.057,0.7255,0.6416,9.9887,90.4412,0.6252,0.0875,0.0466,0.7376,0.6503,8.6107,93.796,0.6241,0.8897
Contras-MM-80-Minimal-20,123,0.282,0.1868,0.6323,0.6319,18.8165,63.223,0.6451,0.1792,0.1042,0.6824,0.6178,14.3393,78.9538,0.6399,0.1346,0.0746,0.717,0.6309,11.5229,86.6895,0.6309,0.1077,0.0582,0.738,0.6434,9.6484,91.4621,0.6228,0.0893,0.0476,0.7479,0.6516,8.3597,94.9541,0.6207,0.906
Contras-MM-80-Minimal-20,1234,0.284,0.1881,0.6293,0.6265,18.8311,61.4548,0.6299,0.1796,0.1044,0.677,0.6092,13.8221,75.3862,0.6258,0.1322,0.0733,0.7047,0.6232,11.2628,83.546,0.6219,0.1055,0.057,0.7229,0.6344,9.6306,89.1646,0.6163,0.0878,0.0468,0.7404,0.6423,8.408,93.0389,0.6136,0.8913
Contras-MM-80-Minimal-20,12345,0.288,0.1908,0.6395,0.634,20.2116,67.7447,0.6392,0.1796,0.1044,0.6767,0.6228,13.5845,78.8016,0.6335,0.1341,0.0743,0.7063,0.6367,11.2264,87.369,0.6296,0.1065,0.0576,0.7272,0.6468,9.7978,93.8348,0.6257,0.0885,0.0471,0.7372,0.6561,8.5911,97.9273,0.6202,0.907
Contras-MM-90-Minimal-20,1,0.2814,0.1864,0.6299,0.6396,21.5312,69.5754,0.6444,0.1785,0.1037,0.6736,0.6208,15.5359,84.7115,0.6414,0.1335,0.074,0.7064,0.6341,13.547,97.4364,0.6354,0.1051,0.0568,0.7192,0.6463,10.7338,100.15,0.6321,0.0878,0.0468,0.7364,0.6509,9.4385,104.8042,0.6282,0.8967
Contras-MM-90-Minimal-20,12,0.278,0.1842,0.6229,0.6238,16.3715,53.9254,0.6309,0.1781,0.1035,0.6752,0.6115,12.2468,67.1376,0.6211,0.1325,0.0734,0.7034,0.6253,10.0406,74.6342,0.6179,0.1057,0.0571,0.7212,0.6358,9.1227,82.2044,0.6146,0.0883,0.047,0.7412,0.6451,8.1991,87.1098,0.6111,0.8858
Contras-MM-90-Minimal-20,123,0.2833,0.1877,0.6352,0.6313,19.1824,62.677,0.6453,0.1773,0.1031,0.6783,0.6177,13.6236,75.3432,0.6404,0.1346,0.0746,0.7137,0.6306,11.5655,85.258,0.6271,0.1079,0.0584,0.7392,0.6419,9.6886,90.0283,0.623,0.0888,0.0473,0.7484,0.6503,8.0087,91.4384,0.6207,0.9048
Contras-MM-90-Minimal-20,1234,0.2847,0.1886,0.6316,0.6175,15.7502,52.6986,0.6308,0.1789,0.104,0.6754,0.6072,11.4185,63.6501,0.623,0.1319,0.0731,0.7022,0.6169,9.3759,70.5584,0.6202,0.1051,0.0568,0.7167,0.6311,8.0789,75.5351,0.6172,0.0873,0.0465,0.7326,0.6359,6.9318,78.068,0.6143,0.8761
Contras-MM-90-Minimal-20,12345,0.2847,0.1886,0.6363,0.629,19.4695,66.2391,0.6371,0.1792,0.1042,0.6793,0.6186,13.5662,78.3249,0.6305,0.133,0.0737,0.7063,0.6322,10.7493,85.131,0.6251,0.1061,0.0574,0.726,0.6437,9.4762,91.7251,0.6209,0.088,0.0469,0.7335,0.6511,8.1433,94.8137,0.6179,0.896
